id1,id2,ddi_risk
DB00199,DB08907,"Potentially significant"
DB00199,DB08910,"Potentially significant"
DB00199,DB08912,"Potentially significant"
DB00199,DB08916,"Potentially significant"
DB00199,DB08918,"Potentially significant"
DB00199,DB08930,"Potentially significant"
DB00199,DB08931,"Potentially significant"
DB00199,DB08934,"Potentially significant"
DB00199,DB09026,"Potentially significant"
DB00199,DB09027,"Potentially significant"
DB00199,DB09083,"Avoid combination"
DB00199,DB09167,"Avoid combination"
DB00202,DB00684,Significant
DB00203,DB00503,Significant
DB00203,DB00706,Significant
DB00203,DB00727,"Avoid combination"
DB00203,DB00883,"Avoid combination"
DB00203,DB00976,Significant
DB00203,DB01020,"Avoid combination"
DB00203,DB01072,Significant
DB00203,DB01149,Significant
DB00203,DB01162,Significant
DB00203,DB01601,Significant
DB00203,DB01613,"Avoid combination"
DB00203,DB09065,Significant
DB00203,DB13179,Significant
DB00204,DB00196,Significant
DB00204,DB00199,Significant
DB00204,DB00204,"Avoid combination"
DB00204,DB00214,Significant
DB00204,DB00215,"Avoid combination"
DB00204,DB00218,Significant
DB00204,DB00232,Critical
DB00204,DB00243,Critical
DB00204,DB00246,"Avoid combination"
DB00204,DB00246,Critical
DB00204,DB00252,Significant
DB00204,DB00261,"Avoid combination"
DB00204,DB00280,"Avoid combination"
DB00204,DB00280,Critical
DB00204,DB00281,Significant
DB00204,DB00308,"Avoid combination"
DB00204,DB00308,Critical
DB00204,DB00331,Significant
DB00204,DB00333,Critical
DB00204,DB00342,"Avoid combination"
DB00204,DB00365,Critical
DB00204,DB00379,Significant
DB00204,DB00384,Significant
DB00204,DB00391,"Avoid combination"
DB00204,DB00433,Critical
DB00204,DB00440,Critical
DB00204,DB00450,Critical
DB00204,DB00468,"Avoid combination"
DB00204,DB00468,Significant
DB00204,DB00472,"Avoid combination"
DB00204,DB00472,Critical
DB00204,DB00489,"Avoid combination"
DB00204,DB00489,Critical
DB00204,DB00502,Significant
DB00204,DB00524,Critical
DB00204,DB00537,Significant
DB00204,DB00539,"Avoid combination"
DB00204,DB00594,Significant
DB00204,DB00604,"Avoid combination"
DB00204,DB00604,Critical
DB00204,DB00608,Significant
DB00204,DB00637,"Avoid combination"
DB00204,DB00647,Significant
DB00204,DB00661,Critical
DB00204,DB00679,"Avoid combination"
DB00204,DB00679,Significant
DB00204,DB00680,Critical
DB00204,DB00695,Critical
DB00204,DB00738,Significant
DB00204,DB00757,Significant
DB00204,DB00774,Critical
DB00204,DB00779,Significant
DB00204,DB00808,Critical
DB00204,DB00834,"Avoid combination"
DB00204,DB00850,Significant
DB00204,DB00862,Significant
DB00204,DB00875,"Avoid combination"
DB00204,DB00903,Critical
DB00204,DB00904,Significant
DB00204,DB00908,"Avoid combination"
DB00204,DB00908,Critical
DB00204,DB00933,Significant
DB00204,DB00976,Significant
DB00204,DB00978,Significant
DB00204,DB00999,Critical
DB00204,DB01015,Critical
DB00204,DB01021,Critical
DB00204,DB01026,Critical
DB00204,DB01035,"Avoid combination"
DB00204,DB01035,Critical
DB00204,DB01044,Significant
DB00204,DB01056,Significant
DB00204,DB01059,Significant
DB00204,DB01100,"Avoid combination"
DB00204,DB01100,Critical
DB00204,DB01118,"Avoid combination"
DB00204,DB01137,Significant
DB00204,DB01155,Significant
DB00204,DB01158,Critical
DB00204,DB01165,Significant
DB00204,DB01167,Critical
DB00204,DB01169,"Avoid combination"
DB00204,DB01175,"Avoid combination"
DB00204,DB01182,Critical
DB00204,DB01184,Significant
DB00204,DB01195,Critical
DB00204,DB01208,"Avoid combination"
DB00204,DB01208,Critical
DB00204,DB01218,"Avoid combination"
